# name,glottocode
Semitic,semi1276
North_African_Arabic,nort3191
Southern_Tupi-Guarani,sout3271
Benue-Congo,benu1247
Southern_Bantoid,sout3152
Daghestanian,dagh1238
Tsezic,tsez1239
East_Tsezic,east2368
Inuit,inui1246
Nuclear_Oromo,nucl1736
Southern_Nilotic,sout2830
Kalenjin,kale1246
Ga-Dangme,gada1257
Northern_Yeniseian,nort2746
Ongamo-Maa,onga1238
Manchu-Xibe,manc1251
Cholan,chol1287
Mississippi_Valley,miss1254
Athabaskan,atha1247
#Athabaskan-Eyak,atha1246
Algonquian,algo1256
Je,jeee1236
Nuclear_Maa,nucl1431
Arabic,arab1395
